Label: RS JC
Metric: Phase Object Confluence (Percent)
Cell Type: plate 6
Passage: 1
Notes: 
Analysis Job: RS JC

Date Time	Elapsed	A1	B2	C2	D2	E2	F2	G2	B3	C3	D3	E3	F3	G3	B4	C4	D4	E4	F4	G4	B5	C5	D5	E5	F5	G5	B6	C6	D6	E6	F6	G6	B7	C7	D7	E7	F7	G7	B8	C8	D8	E8	F8	G8	B9	C9	D9	E9	F9	G9	B10	C10	D10	E10	F10	G10	B11	C11	D11	E11	F11	G11	H12
13/01/2017 11:00:00	0	22.30382	21.67992	24.37329	23.39911	23.56288	24.85925	23.2368	22.62826	24.01041	22.97767	24.91762	28.28895	22.15073	22.3247	22.37462	24.26755	22.26288	25.08831	24.90954	25.20788	22.9808	23.43476	24.74369	23.99774	23.28238	21.66686	15.52233	16.40117	35.08231	15.04599	15.32193	11.54388	35.52758	18.56854	23.79915	14.88503	43.63525	24.21917	56.3507	38.51778	37.25137	27.76513	15.00524	16.4723	7.422618	30.87698	17.54816	31.25948	64.31739	66.16235	56.01988	49.55471	11.4082	13.10666	9.308192	37.56932	35.7493	30.17261	22.81403	47.95498	35.05903	19.79925
13/01/2017 14:00:00	3	22.44385	23.4798	25.60056	23.49612	24.06402	26.42329	24.11589	24.73433	25.83124	23.46453	26.70313	29.78989	23.40399	24.38055	23.87766	26.03728	23.32808	26.40351	25.92189	26.80096	25.00347	25.2917	26.47836	25.01856	25.56817	22.94243	16.40534	17.01996	37.41087	15.56846	15.26194	12.12049	37.89829	20.29564	26.0835	15.97654	47.62071	25.73012	60.42883	42.14816	40.24239	29.52257	14.77468	18.26254	7.809659	33.45763	19.60687	34.86583	66.20676	70.40531	59.1641	53.22532	12.08725	13.91063	9.221215	40.6479	38.42927	32.60444	23.24356	50.39705	36.86156	20.3219
13/01/2017 17:00:00	6	23.93081	25.07631	27.30756	25.83793	26.36575	27.67689	25.40514	25.68278	27.06309	25.31685	27.79492	30.85654	24.38671	25.96547	25.58784	27.51057	25.78174	27.82534	27.93629	27.79458	26.78457	27.87244	27.77708	26.19755	26.60699	24.36529	16.79325	17.75659	38.98215	16.4253	16.56823	11.82368	39.45012	21.56781	27.60401	17.00425	51.15992	25.78905	65.03316	46.24499	43.83826	31.89825	16.10394	19.37761	7.930012	34.83329	20.65592	36.09571	68.58681	74.20782	61.18394	56.31293	12.09323	14.69247	9.29335	42.65006	40.21466	34.1617	23.97917	52.86429	38.72181	22.19604
13/01/2017 20:00:00	9	25.13319	26.54078	29.009	27.462	28.03057	29.9775	27.84453	27.79583	29.49759	26.24132	29.79016	33.20938	25.75398	27.13419	27.76139	29.27595	26.81216	30.08111	29.10981	30.1876	28.95474	29.31584	30.13453	28.68166	28.43622	24.48518	16.73442	18.08513	41.31129	16.66485	17.3084	12.21885	41.84542	22.70691	29.62236	17.835	55.07323	26.32897	68.84023	48.04387	46.18551	33.00221	16.15708	20.63237	8.425795	38.5134	22.06551	37.08732	70.23341	76.9524	64.38186	58.37701	12.1209	14.76079	9.457421	45.53903	41.7182	35.93815	25.52274	55.19391	41.39366	23.31392
13/01/2017 23:00:00	12	26.35651	27.80082	30.66903	29.07255	29.81075	31.88154	29.23424	29.71009	31.50463	28.37791	31.76936	35.25078	28.06886	29.72158	29.47925	30.70823	29.49673	32.4763	31.17691	31.74467	30.21184	31.02087	31.42399	30.45606	30.46862	26.46713	17.54465	18.34847	42.61487	17.35229	17.56919	12.03475	43.34319	24.31623	31.68533	18.44909	60.15831	27.7505	72.57236	51.09516	49.02552	33.56203	17.32957	21.33401	8.696143	38.64899	22.96912	37.22512	73.59073	79.0629	66.19479	60.34373	12.83927	15.2901	9.4328	47.55619	43.03857	37.27871	25.81768	57.44714	43.37515	25.1928
14/01/2017 02:00:00	15	27.52737	30.18974	32.65023	30.19024	31.31119	33.42464	32.60583	31.54525	33.06782	31.39712	33.05918	37.70583	30.17411	30.43332	31.16254	32.60496	31.68281	33.27582	32.79274	34.23161	32.88464	33.04127	33.10815	32.73568	31.84853	26.53918	18.4368	18.88361	45.05548	18.41868	18.85667	11.97814	45.12319	25.97974	33.46152	19.09487	62.73903	28.24377	76.83538	54.09765	52.1721	36.4335	17.97631	24.43883	8.837518	40.63155	24.68327	39.41465	76.28001	81.49495	67.79747	61.95877	13.35601	16.16386	9.004745	49.93632	45.55671	38.93536	26.78954	60.52308	44.84714	26.44187
14/01/2017 05:00:00	18	30.16646	32.33969	35.17645	32.87899	33.38756	36.65093	33.42126	34.54226	36.06181	33.69496	36.61582	40.34818	32.22394	33.91852	34.31894	35.1226	33.77029	36.68765	37.23383	37.10238	35.10803	36.35192	35.88902	35.74983	33.94374	27.9606	18.82384	19.43827	46.86287	19.31304	19.27578	12.81706	47.40397	26.96316	35.71995	20.0739	64.00457	29.43472	80.73756	56.18536	54.74444	36.6327	19.08779	24.0343	9.169364	43.76564	25.56183	39.59111	78.88815	83.79938	69.80472	64.42744	14.08794	16.27226	10.29032	53.01536	47.44645	40.12217	27.89419	63.21917	46.9135	27.52059
14/01/2017 08:00:00	21	31.80583	34.95718	37.48024	35.27483	36.6088	38.82942	35.2891	36.07008	38.24245	35.84055	38.74702	41.81222	35.89607	36.06393	36.4387	37.66689	36.15358	38.96943	38.84034	39.79027	37.7989	39.00506	38.6118	37.71933	37.03838	27.7108	18.76119	20.21194	48.54261	19.81757	19.48773	13.05005	49.34789	27.53628	37.86555	19.9569	67.39639	30.28413	83.65184	58.16168	57.5112	38.12609	19.40606	24.13644	9.641294	43.32472	26.88257	40.62584	81.86838	86.23067	71.4948	65.59572	13.97283	16.88049	9.535184	55.05633	49.11779	41.45341	28.41574	66.18654	49.88213	30.17193
14/01/2017 11:00:00	24	33.94924	37.10006	39.77691	37.7962	39.1674	41.8564	38.14315	38.23364	41.52952	37.81333	41.20456	45.57907	38.27986	38.33043	39.36155	41.1822	39.77794	42.6137	41.22831	42.44585	40.19635	41.80452	41.7466	40.02679	39.45867	29.62984	19.35654	20.29567	50.18696	21.21981	20.27269	12.8734	52.16574	29.4779	39.90556	20.90883	70.7032	31.89458	86.3475	60.09555	60.57518	38.92777	18.34754	24.34206	9.920384	47.1022	28.06243	41.56316	84.40573	87.9752	73.46761	66.47122	14.53872	16.75414	9.415989	57.13107	51.8221	41.74538	29.24632	68.58035	52.23788	32.37603
14/01/2017 14:00:00	27	35.8941	39.6642	42.61152	39.60775	40.45251	44.75748	40.84863	40.12389	45.1935	41.86268	44.89247	48.10095	40.40112	40.73516	43.69769	44.12582	41.66592	45.42736	43.92794	46.38749	44.03108	44.81223	44.7584	44.39635	42.92477	29.39695	20.33881	21.06598	51.83587	22.1031	21.53691	12.69584	54.81382	30.24999	41.8266	21.56569	73.09479	32.55403	89.37134	63.40604	63.9313	39.88782	17.71902	24.99318	10.03409	49.62215	29.38768	41.73988	85.74846	89.73324	74.96545	68.17148	14.83119	17.82979	9.623009	59.98246	53.7976	44.2553	29.72766	71.83953	54.35923	34.16286
