Label: RS JC																																																															
Metric: Phase Object Confluence (Percent)																																																															
Cell Type: plate 1																																																															
Passage: 1																																																															
Notes: 																																																															
Analysis Job: RS JC																																																															
																																																															
Date Time	Elapsed	A1	B2	C2	D2	E2	F2	G2	B3	C3	D3	E3	F3	G3	B4	C4	D4	E4	F4	G4	B5	C5	D5	E5	F5	G5	B6	C6	D6	E6	F6	G6	B7	C7	D7	E7	F7	G7	B8	C8	D8	E8	F8	G8	B9	C9	D9	E9	F9	G9	B10	C10	D10	E10	F10	G10	B11	C11	D11	E11	F11	G11	H12
13/01/2017 11:00:00	0	24.37009	12.91709	17.09414	10.84021	27.97755	10.28071	26.55484	7.993369	14.26503	11.15	19.1291	10.94887	27.26814	11.03113	46.29413	22.23606	12.06169	74.54933	39.78673	15.58511	24.21092	18.51537	45.15077	43.33054	18.13544	24.7313	4.98358	41.34495	62.1045	6.626686	24.35578	24.98439	45.12844	23.05708	14.02674	17.77126	19.67045	22.28465	61.05431	45.10981	21.90341	31.45182	13.14828	24.58547	27.03906	37.63953	33.18367	37.65217	11.32388	8.10527	9.012427	47.10815	32.10981	18.87616	20.70103	35.54163	19.81061	23.85002	20.92729	36.25595	17.08154	23.8652
13/01/2017 14:00:00	3	25.49462	12.83563	16.74152	9.371752	28.55101	10.05919	27.22243	7.646	14.25182	10.83793	19.13735	10.85388	27.88956	11.32738	47.82332	23.13788	11.835	77.2769	40.82795	15.56984	24.85703	18.41468	45.19046	44.76517	18.36153	25.29617	4.898201	43.28378	62.52789	6.779056	25.24575	25.65751	45.46541	23.33508	13.87578	18.39304	20.0565	22.78775	63.12811	46.2177	22.29547	32.93132	13.29535	25.7058	27.19507	39.15237	34.569	38.72834	11.44944	7.709234	9.031072	48.41392	32.8003	19.11666	20.97029	36.89624	19.5327	24.73588	22.03464	37.37193	17.6849	25.20729
13/01/2017 17:00:00	6	27.33109	13.6876	17.08628	10.38207	29.02068	10.11455	28.30437	7.218367	14.68672	11.17421	19.29504	11.04633	28.31193	11.21943	49.93076	24.1035	12.11203	79.66501	42.25312	15.8119	25.96618	18.49178	45.92987	46.18623	18.62766	25.87316	4.766017	45.36417	63.96742	6.80053	25.9093	26.60081	45.91658	24.41257	14.30732	18.77517	20.4444	23.82278	66.21125	47.74215	22.70131	33.38546	13.82692	26.19682	27.95927	40.35876	35.27486	40.65125	11.53388	6.949304	9.073664	50.58835	33.69318	20.31811	21.66312	38.08295	20.23495	25.62231	22.45613	38.69224	17.99908	27.0052
13/01/2017 20:00:00	9	28.90471	13.89504	17.60382	10.38182	30.0342	10.11949	29.82253	7.202774	15.00278	11.27874	19.68479	11.27779	28.88874	11.75515	52.39972	25.03795	12.42128	82.42542	43.99723	16.1388	26.9243	19.57635	46.60844	47.99276	19.1431	26.82594	4.824908	46.66758	64.68704	6.901793	26.88208	27.13589	47.10579	25.21879	14.43242	19.54567	21.11344	24.68978	68.80424	49.1228	23.2944	34.862	14.0403	27.32016	28.51964	42.31463	37.23862	42.05937	11.59774	8.547279	8.936853	52.72184	34.49133	20.15782	22.07461	39.52618	20.50712	26.22279	23.68982	40.42252	18.4775	28.21697
13/01/2017 23:00:00	12	29.85788	14.10441	17.70872	10.19015	30.87807	10.12583	31.12967	6.998033	14.86637	11.45853	21.27267	11.43031	30.94705	12.2051	53.41882	26.0931	12.22756	84.79875	45.49387	16.21915	28.1557	20.37784	46.8844	50.75891	19.45333	27.93365	5.156557	48.59203	65.02926	7.108714	27.73029	28.15359	47.38662	26.13067	14.93474	20.22585	21.72236	25.42843	71.05172	51.38101	23.82141	35.66845	14.28326	27.98594	29.68948	42.50548	38.54268	43.38253	11.57863	7.859453	9.025285	54.65615	35.56688	21.00293	22.42782	41.15661	21.23766	26.53253	24.2383	42.02734	18.90848	29.24351
14/01/2017 02:00:00	15	32.50444	14.13124	17.17861	10.86085	31.8946	10.77537	32.06335	7.966142	15.53659	11.38248	20.75285	11.44989	31.35094	12.65889	56.23912	26.89567	12.50945	87.40593	46.77632	16.43278	29.32649	20.76966	47.46768	52.22805	19.54525	28.30334	4.684655	49.89643	66.1937	7.222607	28.15882	29.08303	48.00979	26.16384	15.25111	20.26519	22.28399	26.11107	72.86845	53.35807	24.46255	37.28779	14.65391	29.33113	30.67355	43.5519	39.9505	45.40619	11.85329	8.854942	9.357381	56.86467	36.65997	21.31412	23.40849	42.71765	21.47368	28.06068	25.39867	43.49009	19.57928	31.15393
14/01/2017 05:00:00	18	34.9846	14.57206	18.15331	10.08546	32.98625	10.97326	33.63643	7.250992	15.97468	12.09165	20.9613	11.82263	32.25692	12.074	58.1939	27.64637	12.34572	89.16077	48.22866	16.9578	30.38257	21.59473	48.00216	54.93471	20.28996	29.45621	5.265886	51.77372	66.43264	7.398249	29.53489	29.59666	48.37355	27.53197	15.49545	21.22851	22.74373	26.45685	75.23341	54.48923	24.78716	38.69009	14.65984	30.43319	30.85341	44.3843	41.28677	47.57601	12.22024	8.13677	9.306466	58.41786	37.94139	21.81088	24.2728	43.90638	22.58975	29.04273	26.54376	44.76271	20.13287	34.46856
14/01/2017 08:00:00	21	37.38313	14.33315	19.33991	10.60583	33.71104	10.58817	34.88242	7.271148	16.46903	12.16058	21.51146	11.54716	33.14184	13.06743	60.73076	29.51815	12.51232	91.87522	50.33139	17.15195	31.49562	22.04352	48.63436	57.07224	20.85305	30.74795	4.726766	52.76212	67.46423	7.511539	30.75875	30.72871	49.21896	28.05875	16.69212	21.47094	23.14819	27.42037	77.97325	56.98273	25.69069	39.84425	15.16666	31.63094	32.34064	46.82508	42.58142	49.46745	12.61302	7.908054	9.486585	60.43854	39.48078	22.49709	24.84168	45.53741	23.11217	29.70186	27.95702	46.69936	20.72472	35.63149
14/01/2017 11:00:00	24	39.47758	15.42431	19.01113	10.82734	34.82856	11.36261	35.97179	7.086629	16.31566	12.09647	23.17048	11.83757	35.58047	12.39765	62.51487	31.35441	12.6912	93.73991	51.80769	17.59377	33.45179	23.08531	48.59894	58.94397	21.39593	31.80915	5.457507	54.16463	67.87097	7.573673	31.78168	31.85905	49.17521	29.7159	16.38107	22.89436	23.76533	28.17068	80.95145	58.5734	26.34796	41.95502	15.37977	32.50807	33.86872	47.71105	43.89918	50.75711	12.4493	8.195055	8.987127	62.32085	40.30462	22.77833	25.74051	47.26632	23.52225	30.76336	29.1583	48.53855	21.32125	38.15522
14/01/2017 14:00:00	27	42.80744	16.01342	19.05013	10.86647	36.0639	10.32758	36.91581	7.074926	16.66209	12.26218	22.51011	12.10865	36.28091	12.73823	64.49395	33.16298	12.98498	95.31264	53.09642	18.03054	35.03818	23.58466	48.25529	61.99292	21.51553	32.87304	5.373157	57.76514	68.65401	7.698201	32.48032	32.86409	49.9034	30.63775	16.82278	23.23817	24.87347	28.00401	83.26833	62.71646	26.95391	43.81059	16.10472	33.77073	35.12405	50.43835	45.09671	52.78411	13.11142	7.443356	8.947523	64.16596	41.54209	23.3194	26.18051	48.94491	24.49966	32.03017	29.82992	50.65462	21.7391	41.10649
