plate_id,well,sequencing_barcode
GEP00005_02,A1,FLD0001
GEP00005_02,A2,FLD0009
GEP00005_02,A3,FLD0017
GEP00005_02,A4,FLD0025
GEP00005_02,A5,FLD0033
GEP00005_02,A6,FLD0041
GEP00005_02,A7,FLD0049
GEP00005_02,A8,FLD0057
GEP00005_02,A9,FLD0065
GEP00005_02,A10,FLD0073
GEP00005_02,A11,FLD0081
GEP00005_02,A12,FLD0089
GEP00005_02,B1,FLD0002
GEP00005_02,B2,FLD0010
GEP00005_02,B3,FLD0018
GEP00005_02,B4,FLD0026
GEP00005_02,B5,FLD0034
GEP00005_02,B6,FLD0042
GEP00005_02,B7,FLD0050
GEP00005_02,B8,FLD0058
GEP00005_02,B9,FLD0066
GEP00005_02,B10,FLD0074
GEP00005_02,B11,FLD0082
GEP00005_02,B12,FLD0090
GEP00005_02,C1,FLD0003
GEP00005_02,C2,FLD0011
GEP00005_02,C3,FLD0019
GEP00005_02,C4,FLD0027
GEP00005_02,C5,FLD0035
GEP00005_02,C6,FLD0043
GEP00005_02,C7,FLD0051
GEP00005_02,C8,FLD0059
GEP00005_02,C9,FLD0067
GEP00005_02,C10,FLD0075
GEP00005_02,C11,FLD0083
GEP00005_02,C12,FLD0091
GEP00005_02,D1,FLD0004
GEP00005_02,D2,FLD0012
GEP00005_02,D3,FLD0020
GEP00005_02,D4,FLD0028
GEP00005_02,D5,FLD0036
GEP00005_02,D6,FLD0044
GEP00005_02,D7,FLD0052
GEP00005_02,D8,FLD0060
GEP00005_02,D9,FLD0068
GEP00005_02,D10,FLD0076
GEP00005_02,D11,FLD0084
GEP00005_02,D12,FLD0092
GEP00005_02,E1,FLD0005
GEP00005_02,E2,FLD0013
GEP00005_02,E3,FLD0021
GEP00005_02,E4,FLD0029
GEP00005_02,E5,FLD0037
GEP00005_02,E6,FLD0045
GEP00005_02,E7,FLD0053
GEP00005_02,E8,FLD0061
GEP00005_02,E9,FLD0069
GEP00005_02,E10,FLD0077
GEP00005_02,E11,FLD0085
GEP00005_02,E12,FLD0093
GEP00005_02,F1,FLD0006
GEP00005_02,F2,FLD0014
GEP00005_02,F3,FLD0022
GEP00005_02,F4,FLD0030
GEP00005_02,F5,FLD0038
GEP00005_02,F6,FLD0046
GEP00005_02,F7,FLD0054
GEP00005_02,F8,FLD0062
GEP00005_02,F9,FLD0070
GEP00005_02,F10,FLD0078
GEP00005_02,F11,FLD0086
GEP00005_02,F12,FLD0094
GEP00005_02,G1,FLD0007
GEP00005_02,G2,FLD0015
GEP00005_02,G3,FLD0023
GEP00005_02,G4,FLD0031
GEP00005_02,G5,FLD0039
GEP00005_02,G6,FLD0047
GEP00005_02,G7,FLD0055
GEP00005_02,G8,FLD0063
GEP00005_02,G9,FLD0071
GEP00005_02,G10,FLD0079
GEP00005_02,G11,FLD0087
GEP00005_02,G12,FLD0095
GEP00005_02,H1,FLD0008
GEP00005_02,H2,FLD0016
GEP00005_02,H3,FLD0024
GEP00005_02,H4,FLD0032
GEP00005_02,H5,FLD0040
GEP00005_02,H6,FLD0048
GEP00005_02,H7,FLD0056
GEP00005_02,H8,FLD0064
GEP00005_02,H9,FLD0072
GEP00005_02,H10,FLD0080
GEP00005_02,H11,FLD0088
GEP00005_02,H12,FLD0096
