sample_id,HighImpact,LowImpact,MediumImpact,WildType,LowFrequency,koscore
FLD0084,0.0,59.9,0.0,18.03,22.069999999999993,5.99
FLD0095,0.0,72.11,0.0,0.0,27.89,7.211
FLD0049,0.0,75.76,0.0,0.0,24.239999999999995,7.5760000000000005
FLD0060,0.0,78.38,0.0,0.0,21.620000000000005,7.838
FLD0031,0.0,82.81,0.0,0.0,17.189999999999998,8.281
FLD0041,10.31,64.59,0.0,0.0,25.099999999999994,16.769000000000002
FLD0081,10.25,11.46,14.33,40.38,23.58,19.994
FLD0070,18.32,59.93,0.0,0.0,21.75,24.313000000000002
FLD0017,0.0,46.01,35.29,0.0,18.700000000000003,25.775
FLD0009,27.759999999999998,0.0,0.0,54.95,17.289999999999992,27.759999999999998
FLD0053,23.83,48.66,0.0,0.0,27.510000000000005,28.695999999999998
FLD0008,23.57,60.41,0.0,0.0,16.02000000000001,29.611
FLD0005,26.01,56.48,0.0,0.0,17.510000000000005,31.658
FLD0002,26.38,55.32,0.0,0.0,18.299999999999997,31.912
FLD0051,31.82,40.53,0.0,0.0,27.650000000000006,35.873
FLD0043,31.91,45.21,0.0,0.0,22.879999999999995,36.431
FLD0019,32.71,40.84,0.0,10.46,15.98999999999998,36.794000000000004
FLD0036,32.77,40.48,0.0,0.0,26.75,36.818000000000005
FLD0087,33.06,40.44,0.0,0.0,26.5,37.104
FLD0094,38.239999999999995,0.0,0.0,34.89,26.870000000000005,38.239999999999995
FLD0047,34.55,40.35,0.0,0.0,25.099999999999994,38.584999999999994
FLD0078,38.97,0.0,0.0,37.92,23.11,38.97
FLD0093,37.35,36.87,0.0,0.0,25.78,41.037
FLD0062,37.11,39.85,0.0,0.0,23.039999999999992,41.095
FLD0071,37.93,37.64,0.0,0.0,24.430000000000007,41.694
FLD0027,41.75,0.0,0.0,41.24,17.00999999999999,41.75
FLD0068,39.37,38.15,0.0,0.0,22.480000000000004,43.184999999999995
FLD0020,40.57,41.65,0.0,0.0,17.78,44.735
FLD0030,0.0,0.0,76.02,0.0,23.980000000000004,45.611999999999995
FLD0029,45.95,31.66,0.0,0.0,22.39,49.116
FLD0069,48.82,28.34,0.0,0.0,22.840000000000003,51.654
FLD0091,50.699999999999996,0.0,6.65,18.49,24.16000000000001,54.69
FLD0055,31.06,0.0,41.7,0.0,27.239999999999995,56.08
FLD0045,31.59,0.0,46.16,0.0,22.25,59.286
FLD0013,41.18,0.0,34.39,0.0,24.430000000000007,61.814
FLD0038,40.37,0.0,36.19,0.0,23.439999999999998,62.083999999999996
FLD0021,60.07,23.4,0.0,0.0,16.53,62.41
FLD0085,47.42,0.0,28.2,0.0,24.379999999999995,64.34
FLD0050,66.5,0.0,0.0,0.0,33.5,66.5
FLD0022,63.51,0.0,6.38,14.61,15.5,67.338
FLD0073,68.87,0.0,0.0,0.0,31.129999999999995,68.87
