sample_id,chr16_54931181,total_reads,misc
FLD0001,92351,127404,35053
FLD0002,169437,256192,86755
FLD0003,123109,184284,61175
FLD0004,170321,250746,80425
FLD0005,124959,167722,42763
FLD0006,161333,240298,78965
FLD0007,199326,299084,99758
FLD0008,186179,280560,94381
FLD0009,181035,265678,84643
FLD0010,158626,257640,99014
FLD0011,142308,218424,76116
FLD0012,182965,271140,88175
FLD0013,229225,347262,118037
FLD0014,244636,366738,122102
FLD0015,255868,379648,123780
FLD0016,254868,376482,121614
FLD0017,136101,198744,62643
FLD0018,170277,255430,85153
FLD0019,135374,197674,62300
FLD0022,196814,300650,103836
FLD0023,188327,320808,132481
FLD0024,292138,402102,109964
FLD0025,34608,45418,10810
FLD0028,150690,219400,68710
FLD0030,281161,419336,138175
FLD0031,262126,393198,131072
FLD0033,204875,308702,103827
FLD0034,222471,327274,104803
FLD0035,29183,35210,6027
FLD0036,221497,288578,67081
FLD0037,43928,52096,8168
FLD0038,186641,278794,92153
FLD0039,238135,368734,130599
FLD0041,88266,112296,24030
FLD0042,215800,316974,101174
FLD0043,147586,228828,81242
FLD0044,156046,250838,94792
FLD0045,240789,348106,107317
FLD0046,240180,366226,126046
FLD0047,232691,366506,133815
FLD0048,255204,373016,117812
FLD0049,197832,319672,121840
FLD0050,215790,338016,122226
FLD0051,129281,193334,64053
FLD0052,142532,211766,69234
FLD0054,200643,323722,123079
FLD0056,225357,324200,98843
FLD0057,156476,255652,99176
FLD0058,273574,423260,149686
FLD0059,146733,239848,93115
FLD0060,208473,313702,105229
FLD0061,209884,319974,110090
FLD0062,222700,340998,118298
FLD0063,220910,327588,106678
FLD0064,205401,260980,55579
FLD0065,249672,373548,123876
FLD0066,192110,295398,103288
FLD0067,137328,201898,64570
FLD0068,180782,294066,113284
FLD0069,131969,206294,74325
FLD0070,184774,268446,83672
FLD0071,226522,353446,126924
FLD0072,33281,40062,6781
FLD0073,205639,312878,107239
FLD0074,196798,287406,90608
FLD0075,157119,232556,75437
FLD0076,172146,256568,84422
FLD0077,44580,53624,9044
FLD0078,217303,330482,113179
FLD0079,199197,308740,109543
FLD0081,171697,252886,81189
FLD0082,35490,42606,7116
FLD0083,162314,235890,73576
FLD0084,198547,297206,98659
FLD0086,221406,319612,98206
FLD0087,37910,45190,7280
FLD0088,117741,168128,50387
FLD0089,157162,237298,80136
FLD0090,122899,150488,27589
FLD0091,231454,343164,111710
FLD0092,262150,352788,90638
FLD0093,219026,329142,110116
FLD0094,41629,49090,7461
FLD0095,193824,267464,73640
FLD0096,150626,181198,30572
