sample_id,HighImpact,LowImpact,MediumImpact,WildType,LowFrequency,koscore
FLD0068,0.0,0.0,0.0,79.91,20.090000000000003,0.0
FLD0010,0.0,0.0,0.0,73.27,26.730000000000004,0.0
FLD0066,0.0,50.99,0.0,24.44,24.569999999999993,5.099
FLD0072,0.0,56.099999999999994,0.0,0.0,43.900000000000006,5.609999999999999
FLD0079,0.0,59.230000000000004,0.0,18.47,22.299999999999997,5.923000000000001
FLD0069,0.0,59.71,0.0,19.9,20.39,5.971
FLD0071,0.0,68.15,0.0,9.52,22.33,6.815000000000001
FLD0092,0.0,74.05,0.0,0.0,25.950000000000003,7.405
FLD0074,0.0,74.68,0.0,0.0,25.319999999999993,7.468000000000001
FLD0002,0.0,81.38,0.0,0.0,18.620000000000005,8.138
FLD0013,0.0,83.69999999999999,0.0,0.0,16.30000000000001,8.37
FLD0093,0.0,60.99,6.34,0.0,32.67,9.903
FLD0076,0.0,67.5,6.92,0.0,25.58,10.902000000000001
FLD0017,0.0,65.58,7.56,0.0,26.86,11.094
FLD0083,7.47,53.55,0.0,11.81,27.17,12.825
FLD0045,6.69,72.05,0.0,0.0,21.260000000000005,13.895
FLD0088,8.69,0.0,17.29,37.37,36.650000000000006,19.064
FLD0065,14.19,51.81,0.0,0.0,34.0,19.371000000000002
FLD0035,0.0,0.0,34.44,0.0,65.56,20.663999999999998
FLD0038,0.0,41.540000000000006,32.53,0.0,25.929999999999993,23.672
FLD0006,22.47,49.7,0.0,0.0,27.83,27.439999999999998
FLD0058,17.39,45.96,9.93,0.0,26.72,27.944
FLD0048,0.0,26.44,43.07,0.0,30.489999999999995,28.485999999999997
FLD0036,0.0,7.67,47.72,0.0,44.61,29.398999999999997
FLD0044,8.3,41.43,28.63,0.0,21.64,29.621
FLD0082,31.43,0.0,0.0,0.0,68.57,31.43
FLD0011,28.259999999999998,46.29,0.0,0.0,25.450000000000003,32.888999999999996
FLD0062,28.69,45.04,0.0,0.0,26.269999999999996,33.194
FLD0037,33.33,0.0,0.0,0.0,66.67,33.33
FLD0075,28.71,47.18,0.0,0.0,24.11,33.428
FLD0094,33.51,0.0,0.0,0.0,66.49000000000001,33.51
FLD0073,0.0,0.0,56.44,17.42,26.14,33.864
FLD0007,21.19,46.38,13.91,0.0,18.519999999999996,34.174
FLD0046,29.64,47.4,0.0,0.0,22.960000000000008,34.38
FLD0086,22.56,38.129999999999995,14.129999999999999,0.0,25.180000000000007,34.851
FLD0052,31.63,44.38,0.0,0.0,23.989999999999995,36.068
FLD0095,12.51,10.89,39.08,0.0,37.52,37.047
FLD0078,32.87,47.13,0.0,0.0,20.0,37.583
FLD0039,35.47,24.57,0.0,9.69,30.269999999999996,37.927
FLD0087,31.07,0.0,12.04,0.0,56.89,38.294
FLD0024,0.0,0.0,67.83,0.0,32.17,40.698
FLD0043,0.0,9.28,66.95,0.0,23.769999999999996,41.098
FLD0050,38.55,34.64,0.0,0.0,26.810000000000002,42.013999999999996
FLD0041,0.0,0.0,70.39,0.0,29.61,42.234
FLD0096,0.0,0.0,71.9,0.0,28.099999999999994,43.14
FLD0015,40.89,38.33,0.0,0.0,20.78,44.723
FLD0031,41.57,32.8,0.0,0.0,25.629999999999995,44.85
FLD0059,0.0,0.0,75.97,0.0,24.03,45.582
FLD0077,37.86,0.0,15.1,0.0,47.04,46.92
FLD0064,7.89,0.0,66.3,0.0,25.810000000000002,47.669999999999995
FLD0090,0.0,0.0,81.16,0.0,18.840000000000003,48.696
FLD0042,16.75,0.0,54.39,0.0,28.86,49.384
FLD0025,0.0,0.0,86.49000000000001,0.0,13.509999999999991,51.894000000000005
FLD0005,25.95,0.0,45.31999999999999,0.0,28.730000000000004,53.141999999999996
FLD0022,52.85,15.07,0.0,0.0,32.08,54.357
FLD0056,29.85,0.0,41.730000000000004,0.0,28.419999999999987,54.888000000000005
FLD0028,46.63,0.0,15.66,8.68,29.03,56.026
