Label: 100pmol donor 1:10 dilution

Date Time	Elapsed	A1	B1	C1	D1	E1	F1	G1	H1	A2	B2	C2	D2	E2	F2	G2	H2	A3	B3	C3	D3	E3	F3	G3	H3	A4	B4	C4	D4	E4	F4	G4	H4	A5	B5	C5	D5	E5	F5	G5	H5	A6	B6	C6	D6	E6	F6	G6	H6	A7	B7	C7	D7	E7	F7	G7	H7	A8	B8	C8	D8	E8	F8	G8	H8	A9	B9	C9	D9	E9	F9	G9	H9	A10	B10	C10	D10	E10	F10	G10	H10	A11	B11	C11	D11	E11	F11	G11	H11	A12	B12	C12	D12	E12	F12	G12	H12
29/01/2019 11:00:00	0	55.3726	25.83242	10.08938	0.9248591	15.85116	29.44602	22.64126	14.67727	0.9295561	1.328125	19.18159	11.29104	8.423133	1.151291	17.50083	8.658201	9.922083	14.42647	30.40756	23.91668	24.29598	22.58683	18.12645	13.43163	20.76826	20.9378	17.13169	20.28893	11.84806	19.81038	1.752251	0.6422691	19.31353	6.468142	25.29365	1.358311	1.848889	16.00857	3.326564	14.45941	1.295729	2.046378	4.988464	14.92699	1.943316	8.74199	21.28413	0.7214992	3.78205	12.94127	18.74296	12.09003	1.872583	17.72719	18.38086	1.225201	0.6848889	1.249793	10.70299	2.312735	1.322392	1.886673	1.275489	19.962	29.95765	16.10999	1.874309	1.802608	7.626341	3.472246	1.21781	0.9198859	16.73077	1.461373	19.39414	16.03338	10.95511	19.95012	1.372334	17.6396	6.278526	16.55083	20.78166	21.93903	24.50176	20.36044	20.75619	22.56893	13.14848	17.69707	24.82598	10.60966	5.801557	20.04545	1.162688	50.49819
29/01/2019 14:00:00	3	62.43218	26.01031	10.08703	0.8633122	16.5125	30.34483	23.15235	15.21517	0.892048	1.281222	20.29226	11.77166	8.994879	1.466415	18.10912	9.437864	9.884637	15.04256	31.02565	25.55034	24.45706	22.95597	19.75167	14.11078	21.65141	21.31273	17.8035	21.36577	12.3597	20.43359	1.940691	0.9817087	19.43289	7.159042	25.70416	1.568441	2.417384	17.00368	4.015735	15.53209	1.212284	2.548284	5.4128	15.49934	2.380705	9.269518	22.49911	0.9337007	3.516315	13.96068	19.36539	12.66357	1.977509	18.63837	19.78207	0.7983119	0.653874	1.20738	11.51401	2.648306	1.440581	2.319298	1.495358	19.7543	29.7523	15.78933	2.200141	1.961897	8.123273	3.931256	1.241849	1.042772	15.24308	1.776428	20.97668	16.7738	11.62543	20.26877	1.736917	17.57721	8.304944	17.40758	21.05354	22.39391	24.74401	20.80536	21.40708	22.39791	13.72293	18.51437	25.48443	11.01783	5.652495	21.41964	1.054308	56.4852
29/01/2019 17:00:00	6	69.77849	27.43824	10.22712	0.796723	15.84777	31.37067	23.66821	14.99275	0.8089494	1.253385	20.56863	11.28406	8.704619	1.188039	18.05882	9.464179	10.38773	15.50868	30.56692	25.37123	23.82122	22.46717	19.59155	14.12993	22.35889	20.5785	17.33268	20.39309	12.08195	19.04206	1.679999	0.6810207	19.64785	6.903388	24.66484	1.344427	1.883634	16.57113	3.712631	15.71879	1.196051	2.279303	5.256548	15.10975	1.950016	9.033215	23.77204	0.6401966	3.373189	13.98258	18.68639	12.44468	1.800605	17.81244	19.69613	0.812127	0.6350851	1.277907	11.34331	2.223489	1.259256	1.862981	1.231902	19.66893	30.98204	16.2082	1.838735	1.769037	8.10787	3.363243	1.167661	0.9608477	16.30768	1.288544	21.36804	16.35569	11.49792	19.41479	1.401898	17.85513	7.027658	17.62531	20.18906	22.10807	24.16542	19.78255	20.539	22.47866	14.3473	19.34019	27.12845	11.09865	5.917123	22.17161	1.248964	63.21423
29/01/2019 19:59:00	8.98333333333333	78.22926	27.74454	10.55737	0.7180454	15.92706	33.34409	24.23974	15.18394	0.7519618	1.131396	21.4928	11.40528	8.86895	1.200196	18.83772	9.855213	10.79002	15.31787	30.72276	25.97648	23.85211	22.36535	20.44353	14.72127	23.46146	20.34795	16.91964	20.34533	12.44308	19.20301	1.753771	0.6251382	20.24632	6.946767	25.45129	1.359969	1.786721	16.91423	3.764369	16.8634	1.246408	2.071038	5.593847	15.23762	2.000442	9.418722	26.01936	0.5340269	3.667522	14.49022	19.35828	12.52058	1.576108	18.36545	20.56697	0.7489915	0.7592148	1.001326	12.10668	2.304169	1.219607	1.788103	1.164139	20.12587	31.62475	17.05369	1.928465	1.749972	8.430661	3.433217	1.13188	0.9342535	15.08456	1.171254	22.84565	16.70043	11.54537	19.70892	1.509795	17.30674	5.388138	18.36656	20.30739	21.90429	24.24796	20.13829	20.61138	22.65847	15.40686	20.24143	28.01475	11.68629	6.018596	23.72728	1.112677	71.18679
29/01/2019 23:01:00	12.0166666666667	86.25897	29.04102	11.05521	0.6864085	16.62445	36.70909	25.52577	15.4423	0.7652244	1.274384	23.02327	11.74203	9.15092	0.8739499	19.54416	10.57154	11.81988	15.91388	31.47229	26.69568	23.9356	23.19657	21.72415	15.30897	25.19508	20.75598	17.10482	20.89873	12.42436	19.35869	1.499226	0.6580183	20.80232	7.041055	26.16966	1.483132	1.940346	17.47872	3.744957	17.52259	1.350367	2.121602	5.649108	15.41369	1.920383	10.05367	29.13337	0.4499613	3.738189	14.95517	19.77861	13.03506	1.649121	18.93844	22.11184	0.9670646	0.7165258	1.133123	12.95984	2.247803	1.21187	1.857731	1.060939	20.64559	33.55218	18.19069	1.915478	1.692846	8.724649	3.489375	1.066327	0.8901139	14.59977	1.077586	24.86385	17.14979	11.69513	20.04206	1.419236	17.93925	6.424141	19.24431	21.08297	22.67409	24.92815	20.48236	20.86663	23.03369	16.00553	21.35024	30.17433	12.07173	6.152534	25.45226	1.086842	78.8979
30/01/2019 02:00:00	15	92.58006	31.05617	12.15379	0.5052221	17.26293	40.9538	27.14384	16.00954	0.8305703	1.254352	24.78153	11.80585	9.335283	0.9467562	20.96982	11.30513	12.64706	16.25278	32.6714	27.72132	25.12841	24.37218	23.16224	16.38407	26.74906	21.42374	17.32457	21.88252	12.72698	20.45293	1.437955	0.5955047	21.74057	7.204907	27.76595	1.308162	1.934475	18.22116	3.691563	18.76347	1.221264	2.209536	5.97494	15.29198	1.977785	10.55005	32.76773	0.5537826	3.885044	15.53761	20.60468	13.2465	1.670466	20.03067	23.64356	0.8561975	0.7065098	1.003537	14.11976	2.215614	1.178714	1.806269	1.066396	21.69589	36.01284	19.53145	1.801157	1.760748	8.87302	3.560457	1.05037	0.8066007	15.17676	1.060179	27.19897	17.60036	12.31294	20.23363	1.414263	18.49441	6.464685	20.07032	22.28117	24.50059	26.91333	21.19094	21.64553	23.99045	17.48722	22.5936	32.34739	12.52846	6.413502	28.26798	1.060386	85.92549
30/01/2019 05:00:00	18	96.1493	33.57766	12.05695	0.527741	18.09213	46.87008	29.36311	16.94249	0.7498204	1.195845	27.36786	12.28828	9.565167	1.049058	22.45239	12.30713	13.93188	16.76489	33.73087	29.17967	26.68727	25.18215	24.89421	17.42132	29.2937	21.98739	17.85001	23.4263	13.1337	20.69568	1.646773	0.5095739	22.76048	7.52528	30.48692	1.332546	1.835489	19.4438	3.784261	20.29032	1.255733	2.181214	6.309404	16.1401	1.87348	11.36087	37.58786	0.4771773	3.91005	16.42323	21.98613	13.76478	1.559737	21.26597	26.1993	0.8100547	0.6803989	0.8743647	14.96443	2.211401	1.229277	1.790174	0.9115272	22.33912	39.10458	21.33981	1.886605	1.731184	9.340252	3.490066	0.9435096	0.8702199	15.04366	0.9611241	30.8294	18.66767	12.29463	20.57553	1.319974	18.68209	6.840183	21.33234	23.48854	25.21738	29.47303	22.16056	22.70045	25.14251	19.15499	24.32387	35.68919	13.1965	6.593998	30.62644	1.072613	91.55594
30/01/2019 08:00:00	21	98.1105	36.26443	12.88614	0.589564	19.17848	52.94064	31.65756	17.94728	0.8796142	1.135472	30.35284	12.81056	9.888994	0.9768735	24.49788	13.07969	15.7159	17.52293	35.72083	30.9518	29.10567	27.19744	26.37911	18.37319	31.71225	23.35357	18.04446	25.02812	13.93008	21.67365	1.52658	0.486019	23.82287	7.652313	33.39536	1.288406	1.917206	20.96666	3.823635	22.02393	1.269548	2.204216	6.565263	16.42048	1.901249	12.31308	42.46664	0.4862953	4.137103	17.23371	23.84339	14.77661	1.529343	22.31094	28.66532	0.7248148	0.7011218	0.8211069	16.45653	2.286486	1.243921	1.72925	0.961953	23.56467	42.40265	23.36799	1.682692	1.716195	9.677969	3.579866	0.9933133	0.8863147	15.42772	0.9533874	33.74034	19.54036	12.72104	21.14838	1.261536	19.19471	6.325848	22.77104	24.95524	27.61384	32.4683	23.8521	24.42514	26.65741	21.08428	26.17829	39.47387	14.09911	7.06682	33.90259	1.059143	96.20697
30/01/2019 11:00:00	24	99.01857	40.65179	13.4558	0.554888	20.62204	59.16658	34.91726	19.13095	0.6782576	1.093059	34.24562	13.37554	10.21573	0.905656	27.24781	14.20659	17.85008	18.86653	38.04227	33.42916	31.41778	29.41908	27.97974	19.57228	34.64494	25.36382	18.90409	27.34126	14.44905	22.70108	1.416404	0.5376188	25.37074	7.939325	36.54329	1.246201	1.858768	22.65826	3.760775	24.05158	1.221334	2.197032	6.851998	17.30326	1.880249	13.20575	48.7084	0.4458858	4.377003	18.65101	26.15267	15.41514	1.573069	24.15306	31.69471	0.5976459	0.6019976	0.8495661	18.01793	2.317915	1.206758	1.678202	0.8522599	25.37978	47.07257	25.94053	1.688702	1.684074	10.31368	3.650322	0.8386521	0.8503262	15.16987	0.861102	38.35199	20.65865	13.48406	21.56942	1.199298	19.9837	7.065648	24.71617	27.41483	29.9609	36.33273	25.9031	26.6056	28.37611	23.06593	27.80062	43.63458	14.98266	7.462075	37.70696	1.044982	98.56625
30/01/2019 14:00:00	27	99.69869	44.83636	14.25294	0.5107482	22.51561	65.43711	38.49843	20.78008	0.6693468	1.235149	39.08292	14.19388	10.74201	0.8579935	30.75051	15.38075	20.1405	19.96276	40.40346	35.52649	35.31926	32.91517	29.65573	21.48446	38.17887	27.63795	19.84408	30.35905	15.39325	24.68825	1.419651	0.4807693	26.95319	8.261772	40.97018	1.285367	1.892338	24.78669	3.842355	25.93854	1.142241	2.159524	7.404541	18.13715	1.839702	14.60406	55.43761	0.4288931	4.631272	20.09139	27.72138	16.21457	1.543573	25.94654	34.74622	0.618645	0.6182305	0.7884341	19.83442	2.22121	1.088086	1.765514	0.8830679	27.41995	52.52217	28.88478	1.479678	1.649329	10.90372	3.594925	0.8972287	0.8434184	14.42501	0.9081427	42.76912	22.39094	14.03432	23.09213	1.152741	21.52741	6.319077	27.26127	31.44522	33.32098	41.13078	28.49973	29.09482	31.75169	25.79458	29.65096	48.70406	16.01763	7.931173	41.51628	1.11468	99.59072
