accession	study	object_status	bioproject_accession	biosample_accession	sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file
SRR9090471	SRP198899	new	PRJNA543767	SAMN11783814	GE-P3D5-C	FLD0258	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0258.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0258.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090470	SRP198899	new	PRJNA543767	SAMN11783815	GE-P3D6-C	FLD0259	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0259.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0259.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090469	SRP198899	new	PRJNA543767	SAMN11783816	GE-P3D7-C	FLD0260	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0260.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0260.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090468	SRP198899	new	PRJNA543767	SAMN11783817	GE-P3D8-C	FLD0261	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0261.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0261.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090475	SRP198899	new	PRJNA543767	SAMN11783818	GE-P3C7-C	FLD0254	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0254.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0254.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090474	SRP198899	new	PRJNA543767	SAMN11783819	GE-P1B9-C	FLD0198	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0198.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0198.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090473	SRP198899	new	PRJNA543767	SAMN11783820	GE-P1B10-C	FLD0199	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0199.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0199.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090472	SRP198899	new	PRJNA543767	SAMN11783821	GE-P3C8-C	FLD0255	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0255.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0255.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090477	SRP198899	new	PRJNA543767	SAMN11783822	GE-P1B7-C	FLD0196	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0196.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0196.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090476	SRP198899	new	PRJNA543767	SAMN11783823	GE-P3C9-C	FLD0256	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0256.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0256.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090429	SRP198899	new	PRJNA543767	SAMN11783824	GE-P3D4-C	FLD0257	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0257.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0257.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090428	SRP198899	new	PRJNA543767	SAMN11783825	GE-P1B8-C	FLD0197	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0197.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0197.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090431	SRP198899	new	PRJNA543767	SAMN11783826	GE-P1B5-C	FLD0194	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0194.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0194.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090430	SRP198899	new	PRJNA543767	SAMN11783827	GE-P1B6-C	FLD0195	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0195.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0195.000000000-B4LYY.s_1.r_2.fq.gz				
