accession	study	object_status	bioproject_accession	biosample_accession	sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file
SRR9141467	SRP199742	new	PRJNA545266	SAMN11879973	2_1	FLD0193	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis) KnockINs breakdown	fastq	SLX-15025.FLD0193.000000000-BNNFL.s_1.r_1.fq.gz	SLX-15025.FLD0193.000000000-BNNFL.s_1.r_2.fq.gz				
SRR9141468	SRP199742	new	PRJNA545266	SAMN11879974	2_2	FLD0194	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis) KnockINs breakdown	fastq	SLX-15025.FLD0194.000000000-BNNFL.s_1.r_1.fq.gz	SLX-15025.FLD0194.000000000-BNNFL.s_1.r_2.fq.gz
SRR9141436	SRP199742	new	PRJNA545266	SAMN11879975	2_3	FLD0195	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis) KnockINs breakdown	fastq	SLX-15025.FLD0195.000000000-BNNFL.s_1.r_1.fq.gz	SLX-15025.FLD0195.000000000-BNNFL.s_1.r_2.fq.gz
SRR9141437	SRP199742	new	PRJNA545266	SAMN11879976	2_4	FLD0196	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis) KnockINs breakdown	fastq	SLX-15025.FLD0196.000000000-BNNFL.s_1.r_1.fq.gz	SLX-15025.FLD0196.000000000-BNNFL.s_1.r_2.fq.gz
SRR9141446	SRP199742	new	PRJNA545266	SAMN11879977	2_13	FLD0205	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis) KnockINs breakdown	fastq	SLX-15025.FLD0205.000000000-BNNFL.s_1.r_1.fq.gz	SLX-15025.FLD0205.000000000-BNNFL.s_1.r_2.fq.gz
SRR9141444	SRP199742	new	PRJNA545266	SAMN11879978	2_14	FLD0206	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis) KnockINs breakdown	fastq	SLX-15025.FLD0206.000000000-BNNFL.s_1.r_1.fq.gz	SLX-15025.FLD0206.000000000-BNNFL.s_1.r_2.fq.gz
SRR9141449	SRP199742	new	PRJNA545266	SAMN11879979	2_15	FLD0207	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis) KnockINs breakdown	fastq	SLX-15025.FLD0207.000000000-BNNFL.s_1.r_1.fq.gz	SLX-15025.FLD0207.000000000-BNNFL.s_1.r_2.fq.gz
SRR9141448	SRP199742	new	PRJNA545266	SAMN11879980	2_16	FLD0208	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis) KnockINs breakdown	fastq	SLX-15025.FLD0208.000000000-BNNFL.s_1.r_1.fq.gz	SLX-15025.FLD0208.000000000-BNNFL.s_1.r_2.fq.gz
SRR9141469	SRP199742	new	PRJNA545266	SAMN11879981	2_25	FLD0217	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis) KnockINs breakdown	fastq	SLX-15025.FLD0217.000000000-BNNFL.s_1.r_1.fq.gz	SLX-15025.FLD0217.000000000-BNNFL.s_1.r_2.fq.gz
SRR9141470	SRP199742	new	PRJNA545266	SAMN11879982	2_26	FLD0218	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis) KnockINs breakdown	fastq	SLX-15025.FLD0218.000000000-BNNFL.s_1.r_1.fq.gz	SLX-15025.FLD0218.000000000-BNNFL.s_1.r_2.fq.gz
SRR9141442	SRP199742	new	PRJNA545266	SAMN11879983	2_27	FLD0219	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis) KnockINs breakdown	fastq	SLX-15025.FLD0219.000000000-BNNFL.s_1.r_1.fq.gz	SLX-15025.FLD0219.000000000-BNNFL.s_1.r_2.fq.gz
SRR9141440	SRP199742	new	PRJNA545266	SAMN11879984	2_28	FLD0220	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis) KnockINs breakdown	fastq	SLX-15025.FLD0220.000000000-BNNFL.s_1.r_1.fq.gz	SLX-15025.FLD0220.000000000-BNNFL.s_1.r_2.fq.gz
SRR9141455	SRP199742	new	PRJNA545266	SAMN11879985	1_1	FLD0329	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis) KnockINs breakdown	fastq	SLX-15025.FLD0329.000000000-BNNFL.s_1.r_1.fq.gz	SLX-15025.FLD0329.000000000-BNNFL.s_1.r_2.fq.gz
SRR9141454	SRP199742	new	PRJNA545266	SAMN11879986	1_2	FLD0330	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis) KnockINs breakdown	fastq	SLX-15025.FLD0330.000000000-BNNFL.s_1.r_1.fq.gz	SLX-15025.FLD0330.000000000-BNNFL.s_1.r_2.fq.gz
SRR9141438	SRP199742	new	PRJNA545266	SAMN11879987	1_3	FLD0331	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis) KnockINs breakdown	fastq	SLX-15025.FLD0331.000000000-BNNFL.s_1.r_1.fq.gz	SLX-15025.FLD0331.000000000-BNNFL.s_1.r_2.fq.gz
SRR9141439	SRP199742	new	PRJNA545266	SAMN11879988	1_4	FLD0332	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis) KnockINs breakdown	fastq	SLX-15025.FLD0332.000000000-BNNFL.s_1.r_1.fq.gz	SLX-15025.FLD0332.000000000-BNNFL.s_1.r_2.fq.gz
SRR9141466	SRP199742	new	PRJNA545266	SAMN11879989	1_13	FLD0341	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis) KnockINs breakdown	fastq	SLX-15025.FLD0341.000000000-BNNFL.s_1.r_1.fq.gz	SLX-15025.FLD0341.000000000-BNNFL.s_1.r_2.fq.gz
SRR9141417	SRP199742	new	PRJNA545266	SAMN11879990	1_14	FLD0342	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis) KnockINs breakdown	fastq	SLX-15025.FLD0342.000000000-BNNFL.s_1.r_1.fq.gz	SLX-15025.FLD0342.000000000-BNNFL.s_1.r_2.fq.gz
SRR9141443	SRP199742	new	PRJNA545266	SAMN11879991	1_15	FLD0343	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis) KnockINs breakdown	fastq	SLX-15025.FLD0343.000000000-BNNFL.s_1.r_1.fq.gz	SLX-15025.FLD0343.000000000-BNNFL.s_1.r_2.fq.gz
SRR9141450	SRP199742	new	PRJNA545266	SAMN11879992	1_16	FLD0344	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis) KnockINs breakdown	fastq	SLX-15025.FLD0344.000000000-BNNFL.s_1.r_1.fq.gz	SLX-15025.FLD0344.000000000-BNNFL.s_1.r_2.fq.gz
SRR9141432	SRP199742	new	PRJNA545266	SAMN11879993	1_25	FLD0353	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis) KnockINs breakdown	fastq	SLX-15025.FLD0353.000000000-BNNFL.s_1.r_1.fq.gz	SLX-15025.FLD0353.000000000-BNNFL.s_1.r_2.fq.gz
SRR9141433	SRP199742	new	PRJNA545266	SAMN11879994	1_26	FLD0354	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis) KnockINs breakdown	fastq	SLX-15025.FLD0354.000000000-BNNFL.s_1.r_1.fq.gz	SLX-15025.FLD0354.000000000-BNNFL.s_1.r_2.fq.gz
SRR9141445	SRP199742	new	PRJNA545266	SAMN11879995	1_27	FLD0355	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis) KnockINs breakdown	fastq	SLX-15025.FLD0355.000000000-BNNFL.s_1.r_1.fq.gz	SLX-15025.FLD0355.000000000-BNNFL.s_1.r_2.fq.gz
SRR9141451	SRP199742	new	PRJNA545266	SAMN11879996	1_28	FLD0356	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis) KnockINs breakdown	fastq	SLX-15025.FLD0356.000000000-BNNFL.s_1.r_1.fq.gz	SLX-15025.FLD0356.000000000-BNNFL.s_1.r_2.fq.gz
