	1	2	3	4	5	6	7	8	9	10	11	12		Plate1	
A	Clone 3 - ctl	-	-	-	-	-	-	-	-	-	-	-			
B	-	STAT3.3	STAT3.3	STAT3.3	STAT3.3	STAT3.3	STAT3.3	STAT3.3	STAT3.3	STAT3.3	STAT3.3	-			
C	-	STAT3.3	STAT3.3	STAT3.3	STAT3.3	STAT3.3	STAT3.3	STAT3.3	STAT3.3	STAT3.3	STAT3.3	-			
D	-	STAT3.3	STAT3.3	STAT3.3	STAT3.3	STAT3.3	STAT3.3	STAT3.3	STAT3.3	STAT3.3	STAT3.3	-			
E	-	STAT3.3	STAT3.3	STAT3.3	STAT3.3	STAT3.3	STAT3.3	STAT3.3	STAT3.3	STAT3.3	STAT3.3	-			
F	-	STAT3.3	STAT3.3	STAT3.3	STAT3.3	STAT3.3	STAT3.3	STAT3.3	STAT3.3	STAT3.3	STAT3.3	-			
G	-	STAT3.3	STAT3.3	STAT3.3	STAT3.3	STAT3.3	STAT3.3	STAT3.3	STAT3.3	STAT3.3	STAT3.3	-			
H	-	-	-	-	-	-	-	-	-	-	-	Clone 3 - ctl			
															
															
	1	2	3	4	5	6	7	8	9	10	11	12		Plate2	
A	Clone 3 - ctl	-	-	-	-	-	-	-	-	-	-	-			
B	-	STAT3.4	STAT3.4	STAT3.4	STAT3.4	STAT3.4	STAT3.4	STAT3.4	STAT3.4	STAT3.4	STAT3.4	-			
C	-	STAT3.4	STAT3.4	STAT3.4	STAT3.4	STAT3.4	STAT3.4	STAT3.4	STAT3.4	STAT3.4	STAT3.4	-			
D	-	STAT3.4	STAT3.4	STAT3.4	STAT3.4	STAT3.4	STAT3.4	STAT3.4	STAT3.4	STAT3.4	STAT3.4	-			
E	-	STAT3.4	STAT3.4	STAT3.4	STAT3.4	STAT3.4	STAT3.4	STAT3.4	STAT3.4	STAT3.4	STAT3.4	-			
