sample_id,amplicon_id,impact,impact_frequency
FLD0001,chr16_54931181,HighImpact,26.92
FLD0001,chr16_54931181,MediumImpact,49.5
FLD0002,chr16_54931181,LowImpact,81.38
FLD0003,chr16_54931181,HighImpact,56.27
FLD0003,chr16_54931181,LowImpact,27.1
FLD0004,chr16_54931181,HighImpact,78.67
FLD0005,chr16_54931181,HighImpact,25.95
FLD0005,chr16_54931181,MediumImpact,45.31999999999999
FLD0006,chr16_54931181,HighImpact,22.47
FLD0006,chr16_54931181,LowImpact,49.7
FLD0007,chr16_54931181,LowImpact,46.38
FLD0007,chr16_54931181,HighImpact,21.19
FLD0007,chr16_54931181,MediumImpact,13.91
FLD0008,chr16_54931181,HighImpact,74.49
FLD0009,chr16_54931181,HighImpact,67.71
FLD0010,chr16_54931181,WildType,73.27
FLD0011,chr16_54931181,LowImpact,46.29
FLD0011,chr16_54931181,HighImpact,28.259999999999998
FLD0012,chr16_54931181,HighImpact,81.49
FLD0013,chr16_54931181,LowImpact,83.69999999999999
FLD0014,chr16_54931181,HighImpact,77.33
FLD0015,chr16_54931181,HighImpact,40.89
FLD0015,chr16_54931181,LowImpact,38.33
FLD0016,chr16_54931181,HighImpact,77.19
FLD0017,chr16_54931181,LowImpact,65.58
FLD0017,chr16_54931181,MediumImpact,7.56
FLD0018,chr16_54931181,HighImpact,48.8
FLD0018,chr16_54931181,MediumImpact,18.32
FLD0019,chr16_54931181,HighImpact,71.74
FLD0022,chr16_54931181,LowImpact,15.07
FLD0022,chr16_54931181,HighImpact,52.85
FLD0023,chr16_54931181,HighImpact,54.5
FLD0023,chr16_54931181,MediumImpact,16.2
FLD0024,chr16_54931181,MediumImpact,67.83
FLD0025,chr16_54931181,MediumImpact,86.49000000000001
FLD0028,chr16_54931181,MediumImpact,15.66
FLD0028,chr16_54931181,WildType,8.68
FLD0028,chr16_54931181,HighImpact,46.63
FLD0030,chr16_54931181,HighImpact,66.29
FLD0030,chr16_54931181,MediumImpact,5.59
FLD0031,chr16_54931181,HighImpact,41.57
FLD0031,chr16_54931181,LowImpact,32.8
FLD0033,chr16_54931181,LowImpact,6.18
FLD0033,chr16_54931181,HighImpact,66.97
FLD0034,chr16_54931181,HighImpact,74.24
FLD0035,chr16_54931181,MediumImpact,34.44
FLD0036,chr16_54931181,MediumImpact,47.72
FLD0036,chr16_54931181,LowImpact,7.67
FLD0037,chr16_54931181,HighImpact,33.33
FLD0038,chr16_54931181,LowImpact,41.540000000000006
FLD0038,chr16_54931181,MediumImpact,32.53
FLD0039,chr16_54931181,LowImpact,24.57
FLD0039,chr16_54931181,HighImpact,35.47
FLD0039,chr16_54931181,WildType,9.69
FLD0041,chr16_54931181,MediumImpact,70.39
FLD0042,chr16_54931181,HighImpact,16.75
FLD0042,chr16_54931181,MediumImpact,54.39
FLD0043,chr16_54931181,MediumImpact,66.95
FLD0043,chr16_54931181,LowImpact,9.28
FLD0044,chr16_54931181,LowImpact,41.43
FLD0044,chr16_54931181,HighImpact,8.3
FLD0044,chr16_54931181,MediumImpact,28.63
FLD0045,chr16_54931181,LowImpact,72.05
FLD0045,chr16_54931181,HighImpact,6.69
FLD0046,chr16_54931181,LowImpact,47.4
FLD0046,chr16_54931181,HighImpact,29.64
FLD0047,chr16_54931181,HighImpact,73.91
FLD0048,chr16_54931181,LowImpact,26.44
FLD0048,chr16_54931181,MediumImpact,43.07
FLD0049,chr16_54931181,HighImpact,67.47
FLD0050,chr16_54931181,HighImpact,38.55
FLD0050,chr16_54931181,LowImpact,34.64
FLD0051,chr16_54931181,HighImpact,62.32
FLD0052,chr16_54931181,LowImpact,44.38
FLD0052,chr16_54931181,HighImpact,31.63
FLD0054,chr16_54931181,HighImpact,76.89
FLD0056,chr16_54931181,HighImpact,29.85
FLD0056,chr16_54931181,MediumImpact,41.730000000000004
FLD0057,chr16_54931181,HighImpact,55.55
FLD0057,chr16_54931181,MediumImpact,13.78
FLD0058,chr16_54931181,HighImpact,17.39
FLD0058,chr16_54931181,MediumImpact,9.93
FLD0058,chr16_54931181,LowImpact,45.96
FLD0059,chr16_54931181,MediumImpact,75.97
FLD0060,chr16_54931181,HighImpact,77.41
FLD0061,chr16_54931181,MediumImpact,21.939999999999998
FLD0061,chr16_54931181,HighImpact,59.54
FLD0062,chr16_54931181,LowImpact,45.04
FLD0062,chr16_54931181,HighImpact,28.69
FLD0063,chr16_54931181,HighImpact,76.6
FLD0064,chr16_54931181,MediumImpact,66.3
FLD0064,chr16_54931181,HighImpact,7.89
FLD0065,chr16_54931181,HighImpact,14.19
FLD0065,chr16_54931181,LowImpact,51.81
FLD0066,chr16_54931181,LowImpact,50.99
FLD0066,chr16_54931181,WildType,24.44
FLD0067,chr16_54931181,HighImpact,78.92
FLD0068,chr16_54931181,WildType,79.91
FLD0069,chr16_54931181,WildType,19.9
FLD0069,chr16_54931181,LowImpact,59.71
FLD0070,chr16_54931181,HighImpact,74.49
FLD0071,chr16_54931181,LowImpact,68.15
FLD0071,chr16_54931181,WildType,9.52
FLD0072,chr16_54931181,LowImpact,56.099999999999994
